Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
GRCh38_ENSG00000161281,GRCh38_COX7A1,33,0.12845,14,-1.2648,111,2.38219,28,-0.1000,48,0.76670,8,-2.2518
GRCh38_ENSG00000167635,GRCh38_ZNF146,24,-0.1700,17,-0.7440,23,-0.2338,23,-0.2815,51,1.03762,31,0.24996
GRCh38_ENSG00000105738,GRCh38_SIPA1L3,27,0.71048,10,-0.9666,15,-0.1730,13,-0.5143,30,0.88019,19,0.16323
GRCh38_ENSG00000167642,GRCh38_SPINT2,155,-1.3097,356,-0.0317,253,-0.5658,303,-0.3137,454,0.36720,481,0.62525
GRCh38_ENSG00000167645,GRCh38_YIF1B,32,-0.1760,33,-0.1649,40,0.19109,12,-1.7501,60,0.84357,46,0.51700
GRCh38_ENSG00000167644,GRCh38_C19orf33,190,-1.3906,446,-0.0857,265,-0.8869,532,0.23609,789,0.86643,493,0.10890
GRCh38_ENSG00000099337,GRCh38_KCNK6,20,-1.4818,76,0.65081,46,-0.2571,74,0.60132,32,-0.7808,46,-0.2935
GRCh38_ENSG00000099341,GRCh38_PSMD8,138,-0.2366,152,-0.1037,103,-0.6980,146,-0.1661,246,0.69916,175,0.17420
GRCh38_ENSG00000130244,GRCh38_FAM98C,10,-0.4615,9,-0.6454,21,0.74895,7,-1.0403,12,-0.1245,19,0.81176
GRCh38_ENSG00000196218,GRCh38_RYR1,11,-0.6993,14,-0.4473,22,0.34687,9,-1.1203,6,-1.6944,31,1.34290
GRCh38_ENSG00000178982,GRCh38_EIF3K,134,-0.4343,121,-0.6577,231,0.43228,145,-0.3471,266,0.67170,202,0.27969
GRCh38_ENSG00000130402,GRCh38_ACTN4,183,-0.5585,248,-0.0885,295,0.19974,222,-0.2828,369,0.56827,273,0.09769
GRCh38_ENSG00000205076,GRCh38_LGALS7,137,-2.1069,430,-0.4182,363,-0.6412,667,0.36937,54,-3.4608,905,1.20310
GRCh38_ENSG00000178934,GRCh38_LGALS7B,23,-1.7564,55,-0.4950,28,-1.4496,89,0.37920,5,-3.8320,127,1.36849
GRCh38_ENSG00000104823,GRCh38_ECH1,55,-0.5843,53,-0.7010,94,0.26541,69,-0.2631,85,0.08796,108,0.64873
GRCh38_ENSG00000104824,GRCh38_HNRNPL,84,-0.1122,83,-0.1428,132,0.62660,52,-0.9140,115,0.39912,99,0.20590
GRCh38_ENSG00000068903,GRCh38_SIRT2,30,-0.3503,40,0.10848,69,1.00075,31,-0.3247,35,-0.0917,33,-0.2507
GRCh38_ENSG00000104825,GRCh38_NFKBIB,18,-0.1515,20,0.00311,17,-0.2723,16,-0.4185,27,0.49699,22,0.20948
