Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to10,Feature log2 fold change topic 7to10
GRCh38_ENSG00000009307,GRCh38_CSDE1,188,-0.5475,216,-0.3605,354,0.63371,244,-0.2015
GRCh38_ENSG00000052723,GRCh38_SIKE1,15,-1.3348,52,0.73804,36,0.06923,31,-0.2868
GRCh38_ENSG00000173218,GRCh38_VANGL1,7,-2.3044,19,-0.9226,36,0.22336,43,0.74670
GRCh38_ENSG00000163399,GRCh38_ATP1A1,250,-0.0208,113,-1.3468,164,-0.8262,391,1.27376
GRCh38_ENSG00000116815,GRCh38_CD58,34,-0.1833,25,-0.6958,23,-0.9275,56,1.12966
GRCh38_ENSG00000143061,GRCh38_IGSF3,25,-1.5017,47,-0.6608,61,-0.2286,96,0.92061
GRCh38_ENSG00000116824,GRCh38_CD2,50,0.61156,23,-0.6568,47,0.73789,25,-0.6293
GRCh38_ENSG00000134247,GRCh38_PTGFRN,77,-1.1395,121,-0.5047,178,0.20865,190,0.41725
GRCh38_ENSG00000198162,GRCh38_MAN1A2,34,0.35435,23,-0.3045,38,0.70268,20,-0.6624
GRCh38_ENSG00000183508,GRCh38_TENT5C,94,2.35941,21,-0.3404,34,0.60647,5,-2.9960
GRCh38_ENSG00000134250,GRCh38_NOTCH2,37,-1.4257,138,0.72421,109,0.31233,75,-0.4980
GRCh38_ENSG00000265808,GRCh38_SEC22B,44,-0.0020,43,-0.0393,53,0.39763,37,-0.3488
GRCh38_ENSG00000232527,GRCh38_LINC02802,19,0.01382,11,-0.8639,15,-0.4282,26,0.79769
GRCh38_ENSG00000265491,GRCh38_RNF115,30,0.03648,18,-0.8246,35,0.37876,30,0.09657
GRCh38_ENSG00000186141,GRCh38_POLR3C,25,0.31589,13,-0.7500,22,0.08410,23,0.21772
GRCh38_ENSG00000131788,GRCh38_PIAS3,36,-0.3100,40,-0.1293,33,-0.5172,55,0.59230
GRCh38_ENSG00000198483,GRCh38_ANKRD35,4,-1.6781,33,1.89051,7,-1.0820,11,-0.5220
GRCh38_ENSG00000131779,GRCh38_PEX11B,24,0.27798,8,-1.4225,31,0.92774,18,-0.3281
GRCh38_ENSG00000265241,GRCh38_RBM8A,89,-0.5079,119,-0.0541,107,-0.2869,146,0.43189
GRCh38_ENSG00000121851,GRCh38_POLR3GL,22,0.60508,12,-0.4441,15,0.01242,15,-0.0097
GRCh38_ENSG00000265972,GRCh38_TXNIP,175,0.74591,50,-1.3282,209,1.59361,52,-1.5219
GRCh38_ENSG00000131791,GRCh38_PRKAB2,24,0.11590,7,-1.8385,20,-0.1834,31,0.89313
GRCh38_ENSG00000178104,GRCh38_PDE4DIP,55,0.61458,22,-0.9166,46,0.45156,34,-0.1943
GRCh38_ENSG00000143368,GRCh38_SF3B4,18,-1.4789,38,-0.4148,47,-0.0483,62,0.64696
GRCh38_ENSG00000264522,GRCh38_OTUD7B,5,-1.4372,8,-0.8827,21,1.03273,13,-0.1581
GRCh38_ENSG00000136631,GRCh38_VPS45,15,-0.7387,18,-0.4315,23,-0.0093,29,0.48419
GRCh38_ENSG00000023902,GRCh38_PLEKHO1,70,0.40825,20,-1.6541,98,1.47066,34,-0.9618
GRCh38_ENSG00000143401,GRCh38_ANP32E,22,-0.4325,17,-0.9110,42,0.84614,27,-0.1740
GRCh38_ENSG00000117362,GRCh38_APH1A,51,-0.5530,53,-0.5515,54,-0.6055,104,0.95701
GRCh38_ENSG00000266472,GRCh38_MRPS21,107,-0.2938,85,-0.7041,87,-0.7511,187,1.05597
GRCh38_ENSG00000117360,GRCh38_PRPF3,14,-0.1455,11,-0.5151,16,0.14825,17,0.22426
GRCh38_ENSG00000163125,GRCh38_RPRD2,10,-0.9917,21,0.22038,24,0.57277,15,-0.4222
GRCh38_ENSG00000143374,GRCh38_TARS2,14,0.22335,12,-0.0223,8,-0.8653,16,0.56877
GRCh38_ENSG00000143369,GRCh38_ECM1,196,-0.4266,371,0.70402,235,-0.1790,231,-0.2473
GRCh38_ENSG00000143382,GRCh38_ADAMTSL4,28,-0.3551,30,-0.2764,27,-0.5151,46,0.69054
GRCh38_ENSG00000143384,GRCh38_MCL1,202,-0.5770,239,-0.3524,337,0.30504,307,0.12373
GRCh38_ENSG00000143420,GRCh38_ENSA,91,-0.7066,133,-0.1240,141,-0.0314,162,0.32006
GRCh38_ENSG00000143457,GRCh38_GOLPH3L,19,-0.2756,21,-0.1626,24,0.13127,24,0.08315
GRCh38_ENSG00000163131,GRCh38_CTSS,86,-0.4720,62,-1.0524,237,1.87829,60,-1.3569
GRCh38_ENSG00000143387,GRCh38_CTSK,275,0.37623,147,-0.6845,429,1.73756,82,-1.9060
GRCh38_ENSG00000143437,GRCh38_ARNT,15,-0.3402,10,-0.9543,28,0.92857,17,-0.2716
GRCh38_ENSG00000143379,GRCh38_SETDB1,20,0.10388,12,-0.8056,17,-0.2334,24,0.59099
GRCh38_ENSG00000143418,GRCh38_CERS2,24,0.16300,13,-0.8264,28,0.48733,21,-0.0573
GRCh38_ENSG00000163141,GRCh38_BNIPL,6,-2.4680,66,1.50259,21,-0.7851,29,-0.2045
GRCh38_ENSG00000197622,GRCh38_CDC42SE1,60,-0.6467,67,-0.5090,110,0.41505,95,0.12328
GRCh38_ENSG00000163156,GRCh38_SCNM1,34,-0.1844,36,-0.1096,38,0.00434,40,0.13224
GRCh38_ENSG00000163159,GRCh38_VPS72,20,-0.1778,22,-0.0196,16,-0.6407,28,0.56837
GRCh38_ENSG00000143398,GRCh38_PIP5K1A,15,-0.0879,16,0.02330,16,-0.0679,17,0.07507
GRCh38_ENSG00000159352,GRCh38_PSMD4,68,-0.4197,89,0.00551,75,-0.3393,105,0.40968
GRCh38_ENSG00000143393,GRCh38_PI4KB,53,0.12459,36,-0.5049,38,-0.4673,62,0.61691
GRCh38_ENSG00000143390,GRCh38_RFX5,17,-0.1273,9,-1.2217,25,0.67575,19,0.02678
GRCh38_ENSG00000159377,GRCh38_PSMB4,170,-0.3641,151,-0.5981,217,0.02846,254,0.43844
GRCh38_ENSG00000143442,GRCh38_POGZ,32,0.25436,21,-0.4737,27,-0.0198,29,0.19775
GRCh38_ENSG00000143367,GRCh38_TUFT1,25,-1.4808,125,1.25487,57,-0.3080,55,-0.4309
GRCh38_ENSG00000143376,GRCh38_SNX27,9,-0.9405,21,0.31409,24,0.66095,13,-0.6083
GRCh38_ENSG00000143436,GRCh38_MRPL9,24,-0.3711,29,-0.0808,30,-0.0150,33,0.18943
GRCh38_ENSG00000197747,GRCh38_S100A10,619,-0.6301,724,-0.4274,742,-0.4342,1237,0.79000
GRCh38_ENSG00000163191,GRCh38_S100A11,1428,-1.0667,3103,0.16454,2130,-0.5587,3582,0.61598
GRCh38_ENSG00000215853,GRCh38_RPTN,1,-4.7470,125,3.76509,19,-0.9686,3,-3.8716
GRCh38_ENSG00000143631,GRCh38_FLG,1,-5.7645,337,4.25472,42,-1.1917,2,-5.6371
GRCh38_ENSG00000143520,GRCh38_FLG2,1,-5.9593,314,5.27878,19,-2.2296,1,-6.3866
GRCh38_ENSG00000169509,GRCh38_CRCT1,147,-2.0526,1831,2.88885,431,-0.5263,134,-2.6626
GRCh38_ENSG00000185966,GRCh38_LCE3E,26,-3.3504,868,3.35833,176,-0.6068,30,-3.6566
GRCh38_ENSG00000163202,GRCh38_LCE3D,84,-2.6054,1707,3.37078,317,-0.7651,70,-3.3964
GRCh38_ENSG00000187180,GRCh38_LCE2C,4,-2.6671,113,4.15715,11,-1.5847,2,-3.9653
GRCh38_ENSG00000159455,GRCh38_LCE2B,6,-3.0963,201,4.11723,21,-1.4954,5,-3.9072
