Feature
361,GRCh38_ENSG00000176022
362,GRCh38_ENSG00000261373
363,GRCh38_ENSG00000204305
364,GRCh38_ENSG00000169330
365,GRCh38_ENSG00000101019
366,GRCh38_ENSG00000261159
367,GRCh38_ENSG00000179965
368,GRCh38_ENSG00000070808
369,GRCh38_ENSG00000219435
370,GRCh38_ENSG00000108342
371,GRCh38_ENSG00000162413
372,GRCh38_ENSG00000271983
373,GRCh38_ENSG00000183665
374,GRCh38_ENSG00000179776
375,GRCh38_ENSG00000274414
376,GRCh38_ENSG00000171703
377,GRCh38_ENSG00000213780
378,GRCh38_ENSG00000100297
379,GRCh38_ENSG00000285658
380,GRCh38_ENSG00000287545
381,GRCh38_ENSG00000110944
382,GRCh38_ENSG00000277383
383,GRCh38_ENSG00000099834
384,GRCh38_ENSG00000146197
385,GRCh38_ENSG00000159788
386,GRCh38_ENSG00000075826
387,GRCh38_ENSG00000130513
388,GRCh38_ENSG00000163701
389,GRCh38_ENSG00000166902
390,GRCh38_ENSG00000099957
391,GRCh38_ENSG00000102468
392,GRCh38_ENSG00000266469
393,GRCh38_ENSG00000105287
394,GRCh38_ENSG00000262580
395,GRCh38_ENSG00000042062
396,GRCh38_ENSG00000161638
397,GRCh38_ENSG00000095397
398,GRCh38_ENSG00000182518
399,GRCh38_ENSG00000023318
400,GRCh38_ENSG00000228536
401,GRCh38_ENSG00000180543
402,GRCh38_ENSG00000143632
403,GRCh38_ENSG00000284981
404,GRCh38_ENSG00000275807
405,GRCh38_ENSG00000236810
406,GRCh38_ENSG00000183655
407,GRCh38_ENSG00000180818
408,GRCh38_ENSG00000257329
409,GRCh38_ENSG00000138172
410,GRCh38_ENSG00000178188
411,GRCh38_ENSG00000245648
412,GRCh38_ENSG00000236618
413,GRCh38_ENSG00000158427
414,GRCh38_ENSG00000247970
415,GRCh38_ENSG00000117091
416,GRCh38_ENSG00000269019
417,GRCh38_ENSG00000204946
418,GRCh38_ENSG00000203805
419,GRCh38_ENSG00000130595
420,GRCh38_ENSG00000161980
421,GRCh38_ENSG00000250506
422,GRCh38_ENSG00000004399
423,GRCh38_ENSG00000136859
424,GRCh38_ENSG00000160867
425,GRCh38_ENSG00000105219
426,GRCh38_ENSG00000156172
427,GRCh38_ENSG00000158089
428,GRCh38_ENSG00000165071
429,GRCh38_ENSG00000149809
430,GRCh38_ENSG00000108405
431,GRCh38_ENSG00000089597
432,GRCh38_ENSG00000176383
433,GRCh38_ENSG00000136531
434,GRCh38_ENSG00000183019
435,GRCh38_ENSG00000168802
436,GRCh38_ENSG00000160282
437,GRCh38_ENSG00000140400
438,GRCh38_ENSG00000172197
