Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
GRCh38_ENSG00000158869,GRCh38_FCER1G,110,-0.2986,75,-0.9752,194,0.84720,96,-0.5200,132,-0.0201
GRCh38_ENSG00000158882,GRCh38_TOMM40L,15,0.26226,5,-1.4138,11,-0.3647,28,1.28808,14,0.22340
GRCh38_ENSG00000143252,GRCh38_SDHC,33,-1.1291,51,-0.5179,99,0.80529,81,0.25349,59,-0.3029
GRCh38_ENSG00000143226,GRCh38_FCGR2A,93,-0.3959,77,-0.7453,175,0.87306,71,-0.7987,116,-0.0515
GRCh38_ENSG00000173110,GRCh38_HSPA6,10,-0.5552,18,0.30243,22,0.87703,5,-1.7013,11,-0.5987
GRCh38_ENSG00000203747,GRCh38_FCGR3A,70,-0.4129,62,-0.6513,155,1.28321,21,-2.1763,76,-0.3539
GRCh38_ENSG00000081721,GRCh38_DUSP12,17,0.00403,10,-0.8728,18,0.21369,23,0.52100,17,0.06887
GRCh38_ENSG00000118217,GRCh38_ATF6,16,-0.9965,21,-0.6331,41,0.64077,31,-0.0107,32,0.05824
GRCh38_ENSG00000162745,GRCh38_OLFML2B,40,0.26805,17,-1.1171,56,1.18592,36,0.07994,20,-0.9665
GRCh38_ENSG00000152332,GRCh38_UHMK1,27,-0.8720,29,-0.8149,76,1.09445,53,0.16464,36,-0.5229
GRCh38_ENSG00000117143,GRCh38_UAP1,34,-0.0445,15,-1.3825,34,-0.0603,72,1.18350,38,0.15119
GRCh38_ENSG00000162733,GRCh38_DDR2,50,1.06162,4,-2.8240,48,1.50384,32,0.31334,9,-1.8279
GRCh38_ENSG00000143248,GRCh38_RGS5,27,0.81867,6,-1.5699,33,1.74044,15,-0.1408,4,-2.3387
GRCh38_ENSG00000143198,GRCh38_MGST3,69,-0.3253,52,-0.8471,94,0.20333,107,0.36857,97,0.26976
GRCh38_ENSG00000143149,GRCh38_ALDH9A1,21,-0.4236,24,-0.2186,31,0.25282,29,0.10916,27,0.01093
GRCh38_ENSG00000143183,GRCh38_TMCO1,67,-0.0003,51,-0.4641,72,0.15107,86,0.40078,66,-0.0259
GRCh38_ENSG00000143179,GRCh38_UCK2,28,0.05930,20,-0.4928,13,-1.2804,59,1.30747,35,0.51437
GRCh38_ENSG00000143157,GRCh38_POGK,13,-0.8685,17,-0.4715,26,0.27257,36,0.76091,22,-0.0670
GRCh38_ENSG00000198821,GRCh38_CD247,22,0.48361,11,-0.6081,14,-0.3219,7,-1.2884,23,0.79104
GRCh38_ENSG00000143162,GRCh38_CREG1,42,-1.3891,189,1.19430,136,0.59244,33,-1.7552,59,-1.0550
GRCh38_ENSG00000197965,GRCh38_MPZL1,85,-0.5839,92,-0.5229,134,0.16433,187,0.67821,127,0.05037
GRCh38_ENSG00000143158,GRCh38_MPC2,33,0.51011,6,-2.1397,26,0.14422,49,1.18606,23,-0.0940
GRCh38_ENSG00000143164,GRCh38_DCAF6,16,-0.3055,7,-1.6427,31,1.02124,28,0.55975,15,-0.4607
GRCh38_ENSG00000143155,GRCh38_TIPRL,47,0.52064,17,-1.1283,30,-0.2784,60,0.93461,37,0.15894
GRCh38_ENSG00000213064,GRCh38_SFT2D2,19,-1.4180,65,0.53327,70,0.82963,39,-0.3391,29,-0.9525
GRCh38_ENSG00000143153,GRCh38_ATP1B1,48,-1.3808,154,0.48539,146,0.43848,67,-0.8892,109,-0.1701
GRCh38_ENSG00000117475,GRCh38_BLZF1,7,-2.0753,37,0.55354,41,0.94010,19,-0.5775,17,-0.9135
GRCh38_ENSG00000075945,GRCh38_KIFAP3,40,0.49688,29,-0.0177,30,0.02674,33,0.16048,25,-0.3469
GRCh38_ENSG00000116132,GRCh38_PRRX1,139,0.98782,24,-1.8768,130,1.26423,84,0.15528,35,-1.4165
GRCh38_ENSG00000010932,GRCh38_FMO1,36,0.72902,7,-1.8918,45,1.76972,7,-1.7268,11,-1.2225
GRCh38_ENSG00000117523,GRCh38_PRRC2C,26,-1.3244,29,-1.2686,146,2.48602,38,-0.7564,19,-2.0156
GRCh38_ENSG00000117533,GRCh38_VAMP4,18,0.00348,10,-0.9253,21,0.40217,18,0.05416,19,0.12462
GRCh38_ENSG00000010165,GRCh38_EEF1AKNMT,22,0.08330,15,-0.5568,15,-0.5740,37,0.94497,24,0.32723
GRCh38_ENSG00000135845,GRCh38_PIGC,23,-0.5128,41,0.47343,20,-0.8501,23,-0.5187,43,0.67365
GRCh38_ENSG00000094975,GRCh38_SUCO,26,-0.7530,60,0.65535,62,0.89282,18,-1.3270,24,-1.0642
GRCh38_ENSG00000117592,GRCh38_PRDX6,91,-0.2133,78,-0.5019,101,-0.0678,182,0.92302,104,-0.0119
GRCh38_ENSG00000234741,GRCh38_GAS5,147,-0.3697,107,-0.9405,108,-1.0099,268,0.60347,300,1.13964
GRCh38_ENSG00000135870,GRCh38_RC3H1,10,-1.3600,30,0.32840,37,0.86964,17,-0.6000,17,-0.6706
GRCh38_ENSG00000152061,GRCh38_RABGAP1L,26,-0.2749,24,-0.3960,33,0.12865,29,-0.1062,35,0.28868
GRCh38_ENSG00000116161,GRCh38_CACYBP,43,-0.3529,30,-0.9715,46,-0.3144,104,1.10568,64,0.37739
GRCh38_ENSG00000120333,GRCh38_MRPS14,25,0.04850,14,-0.8602,18,-0.5266,31,0.44399,33,0.72884
GRCh38_ENSG00000235750,GRCh38_KIAA0040,30,1.12001,10,-0.6657,16,0.03983,23,0.68361,11,-0.6710
GRCh38_ENSG00000143207,GRCh38_COP1,15,-0.7223,15,-0.8780,24,-0.1076,41,0.80631,31,0.45397
GRCh38_ENSG00000120341,GRCh38_SEC16B,7,-1.1676,22,0.59993,11,-0.6743,9,-0.8691,21,0.69158
GRCh38_ENSG00000075391,GRCh38_RASAL2,17,-0.4429,21,-0.1094,37,1.21662,23,0.06561,10,-1.4805
GRCh38_ENSG00000116191,GRCh38_RALGPS2,10,-1.4835,48,1.05731,31,0.19438,6,-2.2298,25,-0.2316
GRCh38_ENSG00000186283,GRCh38_TOR3A,47,1.65002,13,-0.5349,13,-0.5534,21,0.29663,15,-0.3765
GRCh38_ENSG00000143322,GRCh38_ABL2,29,-0.4217,32,-0.3262,53,0.69302,52,0.49406,27,-0.6669
GRCh38_ENSG00000057252,GRCh38_SOAT1,22,-0.5302,16,-1.0498,43,0.75358,50,0.79837,24,-0.4453
GRCh38_ENSG00000169905,GRCh38_TOR1AIP2,63,-0.6045,72,-0.4608,127,0.69057,84,-0.1735,87,-0.1428
