Feature,Normalized.Dispersion
GRCh38_ENSG00000269971,2.0509276234377456
GRCh38_ENSG00000270031,-0.46923980582993363
GRCh38_ENSG00000117751,1.701890785465319
GRCh38_ENSG00000130775,-1.524558025999871
GRCh38_ENSG00000117748,0.5176086241789157
GRCh38_ENSG00000130768,-0.9314657543930873
GRCh38_ENSG00000227050,NaN
GRCh38_ENSG00000158156,-1.471399089683343
GRCh38_ENSG00000158161,0.10445660382775297
GRCh38_ENSG00000169403,4.2091728282221865
GRCh38_ENSG00000126698,0.9042487018992953
GRCh38_ENSG00000130770,-1.0856581550320368
GRCh38_ENSG00000270605,-1.616026102025827
GRCh38_ENSG00000271398,NaN
GRCh38_ENSG00000130766,-1.3603488257825669
GRCh38_ENSG00000130772,-1.5636742312444212
GRCh38_ENSG00000204138,0.972558479429483
GRCh38_ENSG00000180198,0.03458861363481795
GRCh38_ENSG00000242125,-0.3092764099901424
GRCh38_ENSG00000180098,-1.5072813238431384
GRCh38_ENSG00000197989,-0.8924378221790517
GRCh38_ENSG00000120656,-1.5267225688021706
GRCh38_ENSG00000188060,-0.9725143834098128
GRCh38_ENSG00000229388,-0.880991254112635
GRCh38_ENSG00000270103,0.5226862237035905
GRCh38_ENSG00000162419,0.4930952065651832
GRCh38_ENSG00000198492,-0.6449463453643955
GRCh38_ENSG00000116329,NaN
GRCh38_ENSG00000159023,1.1575699857034427
GRCh38_ENSG00000253304,-0.45212533841657865
GRCh38_ENSG00000116350,5.860569273813048
GRCh38_ENSG00000116353,-0.8159945140535048
GRCh38_ENSG00000060656,-2.489337676009577
GRCh38_ENSG00000162510,-2.298084279379006
GRCh38_ENSG00000186056,0.7956011554114903
GRCh38_ENSG00000162511,0.9274979083865067
GRCh38_ENSG00000162512,-1.7252287376861843
GRCh38_ENSG00000134644,-0.9981057229218461
GRCh38_ENSG00000084628,2.042773593156617
GRCh38_ENSG00000060688,-2.1693618732430258
GRCh38_ENSG00000121766,-0.0712841496929224
GRCh38_ENSG00000121769,-0.2531275669947788
GRCh38_ENSG00000168528,1.4159508923059279
GRCh38_ENSG00000284543,NaN
GRCh38_ENSG00000229167,NaN
GRCh38_ENSG00000142910,-0.9683667050992354
GRCh38_ENSG00000162517,-1.5878564364426009
GRCh38_ENSG00000235790,NaN
GRCh38_ENSG00000084636,3.2327635688143226
GRCh38_ENSG00000121753,-0.5417209232195842
GRCh38_ENSG00000134668,-1.4878313997257577
GRCh38_ENSG00000184007,-1.1889557482404116
GRCh38_ENSG00000121774,-0.1553911520760755
GRCh38_ENSG00000203325,NaN
GRCh38_ENSG00000121775,4.9486493798809
GRCh38_ENSG00000025800,0.9072855698590891
GRCh38_ENSG00000250135,-1.5984425743696586
GRCh38_ENSG00000084652,0.35682843379425805
GRCh38_ENSG00000160050,0.9585324693875128
GRCh38_ENSG00000224066,-1.3562488886487811
GRCh38_ENSG00000160051,-0.9931257195663422
GRCh38_ENSG00000160055,23.702626995966032
GRCh38_ENSG00000084623,0.3356875734353603
